web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href,
"1582055873-1361","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","Gerhard Lindner","Schnelle und gute LIeferung","18. April 2019","Alles i. O.","1,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&filterByStar=critical&pageNumber=16&reviewerType=all_reviews","null"
"1582055899-1458","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","Nutzer","Akku defekt!","6. Juni 2017","Trotz seltener Nutzung ist der Akku dieses Gerätes bereits kaputt und Ladezeiten von 12-24 Stunden sind normal.
Für den Preis leider nur ok...","1,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_25?ie=UTF8&filterByStar=critical&pageNumber=25&reviewerType=all_reviews","null"
"1582055829-1222","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","Jana M.","Sehr schwache Akku","10. März 2018","Ich habe mehrehe ORAL B Zahnbürste zuhause. Die sind alle TOP. Leider diese hat sooo schwache Akku. Nach 3-4 muss man wieder aufladen und auch Motor ist relativ schwach. Wurde am liebsten zurückschicken.","1,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&filterByStar=critical&pageNumber=2&reviewerType=all_reviews","null"
"1582055894-1432","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","Wamp","Schlechter Akku","4. März 2017","Die Akkuleistung lässt stark zu wünschen übrig.
Die Nutzungsdauer beträgt ca1h (geschätzt), dafür muss er aber 20h aufladen.
Was die Leistung der Bürste betrifft, bin ich zufrieden, schönes Reinheitsgefühl der Zähne, wie es sein soll.
Vergessen kann man auch die Timerfunktion, 2Min sind, meines Erachtens, definitiv zu kurz für eine gründliche Reinigung.","2,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_23?ie=UTF8&filterByStar=critical&pageNumber=23&reviewerType=all_reviews","null"
"1582055882-1392","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","Thomas L.","Akku nach 8 Monaten unbrauchbar","7. Juni 2016","Ich benutze die Bürste alleine, und nach gerade mal 8 Monaten (weiß ich vom Amazon Bestelldatum) lässt sie sich gerade noch soweit aufladen, dass man mit Ach und Krach einmmal putzen kann. Das ist lächerlich, und schade für ein ansonsten gutes Produkt.","1,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_19?ie=UTF8&filterByStar=critical&pageNumber=19&reviewerType=all_reviews","null"
"1582055826-1211","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","Amazon Kunde","Einfach nur schlecht","24. Februar 2018","Der Akku hielt trotzdem normaler Nutzung max. 3 Tage und Ladedauer, dann immer über 20h.
Zudem ist die Putzleistung ungenügend! Im Vergleich zur alten Oral B viel langsamere Rotation und viel lauter! Ging zurück!!!","1,0 von 5 Sternen","","","null"
"1582055829-1223","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","ellui","Preiswerte Oral-B Zahnbürste (auch Warentest-Empfehlung) Top-Leistung  5*","12. Februar 2019","Muss Bewertung revidieren:
Einsatz am 01.01.2019
Stand am 28.04.3019:
  Akku muss nach 2 Tagen
  aufgeladen werden.

Im Angebot: 10 Tage!

Die tatsächliche Leistung ist weit entfernt.

Werde versuchen diese oral B zurück zu geben.
......
Hatte das Vorgängermodell dem die Batterie ausging nach > 5 Jahren.
Fand Oral-B-Angebote  unendlich mit Preisen von €15 bis €300.
Bin seid > 30 Jahren Oral-B-Fan und Nutzerin.

Recherche  ergab, dass auch Stiftung Warentest von meinem ""alten Modell"" auch heute noch überzeugt ist und den  Nachfolger empfiehlt,
als eine  günstige Alternative zu teuren Modellen mit zeitgesteuerten Anweisungen für das richtige Zähneputzen.

Habe diese Oral-B Pro 600 Elektrische Zahnbürste gekauft und bin vollkommen zufrieden !!!
Auch dieses Modell hält aufgeladen rd. 1 Woche  durch bei 3-4mal Zähneputzen täglich.
Top-Empfehlung !","3,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&filterByStar=critical&pageNumber=2&reviewerType=all_reviews","null"
"1582055869-1359","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","Karin S.","Schlechte Qualität","9. Oktober 2019","Leider nach kurzer Zeit bereits defekt.... definitiv keine Empfehlung!","1,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&filterByStar=critical&pageNumber=15&reviewerType=all_reviews","null"
"1582055888-1413","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","Carla","Nicht kaufen!","19. Oktober 2016","Lieferungsdauer und die ersten 5 Monate top!
Aber jetzt innerhalb eines Monats ist der Akku immer schneller entleert, nach einmaligem Zähneputzen muss wieder geladen werden. Und heute ist sie einfach nicht wieder angegangen.
Fazit: Absoluter Fehlkauf!","1,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_21?ie=UTF8&filterByStar=critical&pageNumber=21&reviewerType=all_reviews","null"
"1582055882-1393","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","Amazon Kunde89","Akku Laufzeit","19. November 2017","In der Beschreibung ist beschrieben ""Der Akku der Oral-B PRO 600 CrossAction hält bis zu sieben Tage"", dies stimmt aber nicht. Der Akku hält nur bis zu zwei Tagen. Die Elektrische Zahnbürste muss ständig aufgeladen werden!","1,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_19?ie=UTF8&filterByStar=critical&pageNumber=19&reviewerType=all_reviews","null"
"1582055894-1438","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","Tina Baumgarten","Akku hält nicht lang","7. Februar 2017","Ich habe diese Zahnbürste vor knapp 2 Monaten gekauft. Am Anfang hat sie sehr gut funktioniert und der Akku hat extrem lange gehalten. Leider sah das nach ein paar Wochen schon ganz anders aus. Die Zahnbürste lädt fast 2 Tage um komplett aufgeladen zu sein, nur damit die Bürste knapp 2 Tage hält bevor der Akku wjeder leer ist. Sehr enttäuschend.","2,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_23?ie=UTF8&filterByStar=critical&pageNumber=23&reviewerType=all_reviews","null"
"1582055876-1373","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","Nik","Gute Zahnbürste / Schlechter Akku mit langen Aufladezeiten","28. Juni 2017","Ich habe mir die Zahnbürste bestellt, weil ich mich dazu entschieden habe, auch eine Elektrische Zahnbürste haben zu wollen und wollte nicht direkt auf die ganz teuren Zahnbürsten zurückgreifen.
Das Produkt ist gut verpackt und in einem ordnungsgemäßen Zustand bei mir angekommen. Die Zahnbürste ist von der Putzleistung wirklich gut und ich hab da nichts auszusetzen. Was mich stört, ist die schlechte Akkuleistung und langen Aufladezeiten. Ungefähr nach jedem vierten Putzen leuchtet die rote Lampe auf, dass die Bürste aufgeladen werden muss. Die komplette Aufladung kann dann locker mal bis zu 24 Stunden dauern, was ich sehr lang finde. Allerding für den Preis, kann man auch nicht so viel erwarten. Deswegen bin ich mit meinem Kauf zufrieden.","3,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&filterByStar=critical&pageNumber=17&reviewerType=all_reviews","null"
"1582055899-1453","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","laura Kunkel","Enttäuscht","29. November 2015","Also der Händlerpreis stimmt gar nicht mit dem Drogeriepreis überein! Von wegen sparen! Ist der gleiche preis wie in einer Drogerie! Sehr enttäuscht von Amazon!","2,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_25?ie=UTF8&filterByStar=critical&pageNumber=25&reviewerType=all_reviews","null"
"1582055846-1296","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","Volki","Würde eher ein hochwertigeres kaufen","3. November 2019","Fühlt sich ganz gut an, aber es scheppert manchmal recht laut. Auch nach Aufsatzwechsel geht es nicht weg","3,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&filterByStar=critical&pageNumber=9&reviewerType=all_reviews","null"
"1582055846-1292","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","Bernhard Schad","Cross Action ist nicht vorhanden.","2. Oktober 2017","Das Produkt ist angegeben mit Timer und Andruckkontrolle .Ich kann aber keine Andruckanzeige erkennen..
Auf der Beschreibung steht ,bei zu zuviel Druck ausgeübt würde ,werden die pulsationen gestopt
Bernhard Schad","3,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&filterByStar=critical&pageNumber=9&reviewerType=all_reviews","null"
"1582055860-1323","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","Amazon Kunde","Zahnbürste Oral B","7. September 2018","Nach dem 3. mal Aufladen war der Akku fertig.
Wie gebe ich den Artikel zurück, es ist in der Garantiezeit.","1,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&filterByStar=critical&pageNumber=12&reviewerType=all_reviews","null"
"1582055857-1316","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","Meli","Batterie schnell leer","28. August 2018","Ich muss die Elek. Zahnbürste dauerhaft am Strom lassen, damit ich sie zwei Mal täglich benutzen kann. Da erwarte ich von einem namenhaften Hersteller einfach mehr. Schade.","2,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&filterByStar=critical&pageNumber=11&reviewerType=all_reviews","null"
"1582055846-1293","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","Amazon Kunde","Schnelle Leistungsabnahme trotz dauerhafter Ladung","10. Juli 2018","Nach nur knapp 4 Monaten Benutzung bemerke ich eine deutliche Abnahme der ""Antriebskraft"" der Zahnbürste. Trotz ständiger Lagerung auf der Ladestation, scheint die Zahnbürste nur mit wenig Power zu arbeiten.","1,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&filterByStar=critical&pageNumber=9&reviewerType=all_reviews","null"
"1582055860-1327","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","David Galgano","Kurzlebig...","26. Januar 2017","Ich war sehr zufrieden, aber jetzt ist die nach zwei Jahren schon kapigg also wenn nicht sogar nur 1 1/2 Jahre und das ist krass kurz! Ich bin sehr enttäuscht und wütend, denn ich hatte sie geliebt...","3,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&filterByStar=critical&pageNumber=12&reviewerType=all_reviews","null"
"1582055843-1286","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","Päs","Ist ok","23. August 2019","Nach langer Nutzung kann ich nur sagen dass ich gefühlt nach jedem Mal putzen meine Zahnbürste laden muss zu dem  Zudem habe ich bis heute noch nicht erkannt wurde Timer sein soll ...Insgesamt kann ich nur sagen Note 3...Könnte besser sein dann wär alles super Für diesen Preis","3,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&filterByStar=critical&pageNumber=8&reviewerType=all_reviews","null"
"1582055846-1295","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","Monika U.","Extrem laut! Mit der Zahnpflege nicht zufrieden","14. Mai 2019","Ich benutze dieses Zahnbürste nun knapp zwei Monate und ich kann mich immer noch nicht an das laute, 'rappelte' Geräusch gewöhnen. Das Zähneputzen macht so keinen Spaß und ist nur nervig. Auch bin ich von dem 'Ergebnis' nicht zufrieden. Eine Timerfunktion ist nicht vorhanden bzw. funktioniert nicht.","1,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&filterByStar=critical&pageNumber=9&reviewerType=all_reviews","null"
"1582055857-1311","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","Kal-El","Fehlkauf","6. Dezember 2018","Lässt sich nicht mehr richtig aufladen. Bin sehr enttäuscht. Im mai gekauft und hat gerade mal ein halbes jahr funktioniert","1,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&filterByStar=critical&pageNumber=11&reviewerType=all_reviews","null"
"1582055833-1243","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","Sarah Nobell","Lange Haltbarkeit","8. Januar 2019","Ich habe die Oral-B schon vor mehr als 3 Jahre gekauft.
Die Verarbeitung, d. h. die Qualität, die Haltbarkeit der Bürsten und die Sensibilität ist bei Braun große Klasse.

Punkte die ich beobachten konnte, die eher Richtung „Minus“ laufen und mich gestört haben, sind:
Akkulaufzeit gering, Reinigung etwas aufwändig und lange Ladezeit.","3,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&filterByStar=critical&pageNumber=4&reviewerType=all_reviews","null"
"1582055888-1419","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","Amazon Kunde","Akku hält ca. 6 Wochen","20. April 2018","Die Lebensdauer der Zahnbürste hat mich sehr enttäuscht, da sie nach 6 Wochen den Geist aufgeben hat. Der Akku lässt sich nicht mehr laden.","1,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_21?ie=UTF8&filterByStar=critical&pageNumber=21&reviewerType=all_reviews","null"
"1582055829-1225","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","Frau Müller","Putzleistung top, Akku flop","9. Oktober 2018","Pro: - gute putzleistung, sie ist sehr Energievoll
- der Preis ist unschlagbar
Negativ: - sie verdreckt extrem schnell , ebenso wie das ladeteil, trotz regelmäßiger Säuberung
- der Akku ist eine Zumutung: für Reisende kann ich sie nicht empfehlen. Die putzleistubg nimmt nach 1-2 Tagen, wenn man sie mal nicht aufgeladen hat extrem ab- das stört mich weniger, weil ich sie stationär verwende , aber trotzdem schade","3,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&filterByStar=critical&pageNumber=2&reviewerType=all_reviews","null"
"1582055902-1463","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","Amazon Kunde","Schade","9. März 2016","Am anfang war ich sehr zufrieden, bin nun aber ziehmlich enttäuscht, da das Gerät den Geist nach nur 3 Monaten aufgegeben hat.","1,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_26?ie=UTF8&filterByStar=critical&pageNumber=26&reviewerType=all_reviews","null"
"1582055890-1429","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","Highender","Elektrische Zahnbürste mit aussetzern","28. Juni 2017","Bedienungsanleitung: Absoluter schrott. Gilt für für Pro oder TRIZONE 500 - 700. Für 200 verschiedene Typen??? Dann steht unten wieder etwas über Charger Type und Handle Type. Was gehört da wozu, Das ist ein heilloses kaos. Der Akku mit NiMH ist auch aus dem vorigen Jahrhundert. Wie kann man mit Technik nur soweit hinten an hängen. Erst hab ich gedacht die läuft wenigstens gut und hat gute Reinigung, dann kamen die dauernden Aussetzer oder gehören die dazu. Für mich als Techniker ein nicht für den Zweck brauchbares Produkt und geht zurück.","1,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_22?ie=UTF8&filterByStar=critical&pageNumber=22&reviewerType=all_reviews","null"
"1582055860-1324","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","Burkhardt Kosel","Batterie","9. Januar 2019","Leider hat die Batterie von der Zahnbürste nur 10 Monate gehalten!!!!!!","1,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&filterByStar=critical&pageNumber=12&reviewerType=all_reviews","null"
"1582055831-1239","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","Wurschtel","Als Wegwerf-Produkt konzipiert in riesiger Styroporverpackung - definitiv die letzte Oral-B","6. Mai 2019","Das ist etwa die 10te Oral-B, die ich in den letzten 15 Jahren gekauft habe und nun definitiv die letzte.
Der Akku wird nach etwa 1 Jahr so schwach, dass das Wort elektrisch ein Hohn ist oder der Kunststoff bekommt die Konsistenz von Kaugummi und klebt an den Händen. Die Zahnbürste ist scheinbar sehr bewußt für maximal 2 Jahre ausgelegt.
Obendrein kommt sie in einer Styroporverpackung, die etwa 5x so groß wie die Zahnbürste selbst ist. Wenn man aus der Verpackungsbranche kommt, weiß man, dass es hier nur um maximal billig geht, ohne ökologische Skrupel. Faserguss oder Pappe würden völlig reichen. Das ist wirklich ein Armutszeugnis für eine Firma wie braun.","1,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&filterByStar=critical&pageNumber=3&reviewerType=all_reviews","null"
"1582055879-1384","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","ABrockhinke","Günstiges Ersatzgerät vom Marktführer","10. Oktober 2016","Gutes Produkt zum angemessenen Preis. Ohne überflüssigen Schnickschnack (wer bitte braucht Zahnbürsten mit Handy-Anbindung, Kamera und Positionstracking?). Funktioniert tadellos, noch vorhandene Ersatz-Steckköpfe passen. Ist somit die empfehlenswerteste Alternative wenn man auf der Suche nach Ersatz für seine ausgefallene Oral-B Zahnbürste ist.
Warum trotzdem nur 2 Sterne?
Zum einen die völlig überzogenen Preise für die Ersatzbürsten. Angemessen wäre allenfalls 1-2 Euro. Da greift der de facto Marktführer (praktisch schon ein  Monopolist) den Kunden bei den Verbrauchsmitteln tief in die Tasche.
Zum anderen die Tatsache, dass die NiH-Akkus fest verbaut sind. Das ist geplante Obsoleszenz in Reinkultur! Abgedichtete Batteriefächer sind technisch nun wirklich nicht schwer zu realisieren. Aber natürlich ist es für den Umsatz der Firma Braun sehr gut wenn der Kunde alle 2 Jahre ein neues Gerät kauft. Die Konkurrenz macht's ja auch nicht anders :-(","2,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_18?ie=UTF8&filterByStar=critical&pageNumber=18&reviewerType=all_reviews","null"
"1582055902-1468","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","Roman","Akku nach 1 Jahr platt","30. November 2016","Besitze die Zahnbürste jetzt nicht mal 1 Jahr. Der Akku ist nach 2 Tagen komplett leer. Anfangs hielt er über eine Woche (wenn nicht sogar länger).
Eigentlich ist das Gerät jetzt für die Tonne und man müsste sich ein neues kaufen.","2,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_26?ie=UTF8&filterByStar=critical&pageNumber=26&reviewerType=all_reviews","null"
"1582055905-1474","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","","","","","","null","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_27?ie=UTF8&filterByStar=critical&pageNumber=27&reviewerType=all_reviews","null"
"1582055833-1244","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","Antonia","Schon nach kurzer Zeit kaputt...","11. Januar 2020","Ich habe diese Zahnbürste vor etwa 3 Jahren gekauft. Nach 2 Jahren ging sie direkt kaputt. Nachdem ich mich bei Amazon darüber beschwert habe bekam ich direkt einen neuen Artikel zugesendet. Die neue Zahnbürste ging ebenfalls nach nur 1 Jahr kaputt. Da erwarte ich mir doch ein wenig mehr Qualität von einem Markenprodukt. Keine Kaufempfehlung! 2 Zahnbürsten die innerhalb 3 Jahren kaputt gehen, dass darf nicht sein. Die Zahnbürste muss eindeutig darauf programmiert sein nach gewisser Zeit kaputt zu gehen... ich werde zu einer anderen Marke umsteigen.","1,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&filterByStar=critical&pageNumber=4&reviewerType=all_reviews","null"
